node_name;MCC;DMNC;MNC;Degree;EPC;BottleNeck;EcCentricity;Closeness;Radiality;Betweenness;Stress;ClusteringCoefficient
05032;2.0;0.30779;2.0;2.0;2.311;1.0;0.25;19.75;283.333;0.0;0.0;1.0
05131;36.0;0.40246;7.0;7.0;3.Eyl;1.0;0.33333;2.316.667;309.524;326.222;28.0;0.52381
04520;32.0;0.36588;7.0;7.0;Nis.39;1.0;0.25;2.341.667;311.905;650.489;38.0;0.47619
04390;726.0;0.62199;7.0;7.0;4.269;1.0;0.33333;23.May;314.286;28.925;16.0;0.80952
04310;722.0;0.5854;7.0;7.0;4.841;1.0;0.33333;2.366.667;316.667;303.669;18.0;0.7619
05203;791304.0;0.77702;14.0;14.0;7.922;1.0;0.5;28.0;345.238;1.392.717;122.0;0.75824
04350;7.0;0.46346;3.0;4.0;2.609;1.0;0.33333;2.166.667;302.381;379.048;16.0;0.5
04115;1.0;0.0;1.0;1.0;1.304;1.0;0.25;1.541.667;221.429;0.0;0.0;0.0
04114;14.0;0.38896;5.0;5.0;3.649;1.0;0.33333;2.283.333;314.286;432.548;38.0;0.6
05169;55440.0;0.81806;10.0;10.0;6.883;1.0;0.33333;2.516.667;32.381;0.64519;8.0;0.91111
05166;4,00E+14;0.68316;18.0;18.0;8.949;1.0;0.33333;2.983.333;352.381;4.665.827;246.0;0.60784
04110;52.0;0.47549;6.0;8.0;4.345;2.0;0.33333;2.416.667;319.048;9.160.201;446.0;0.35714
04152;5040.0;0.76834;7.0;7.0;5.624;1.0;0.33333;2.316.667;309.524;0.0;0.0;1.0
05223;9,22E+28;104.344;27.0;27.0;12.065;4.0;0.33333;3.433.333;37.381;1.981.535;234.0;0.80627
05222;2,79E+23;0.99486;20.0;20.0;Eki.19;2.0;0.33333;3.066.667;354.762;586.701;70.0;0.85263
05221;9,22E+28;104.968;26.0;26.0;11.867;2.0;0.33333;3.383.333;371.429;1.456.258;162.0;0.82154
05220;9,22E+28;0.91548;30.0;30.0;12.338;7.0;0.5;36.0;383.333;7.524.661;532.0;0.68276
05215;9,22E+28;0.92707;31.0;31.0;12.863;2.0;0.33333;3.633.333;383.333;5.268.993;452.0;0.68387
05214;9,22E+28;0.91857;30.0;30.0;12.415;2.0;0.33333;3.583.333;380.952;5.889.488;454.0;0.68506
05213;9,22E+28;0.96653;29.0;29.0;12.724;1.0;0.33333;3.533.333;378.571;3.888.117;342.0;0.72906
05212;9,22E+28;0.94631;30.0;30.0;12.409;1.0;0.33333;3.583.333;380.952;4.649.312;386.0;0.70575
05211;9,22E+28;105.754;26.0;26.0;11.847;1.0;0.33333;3.383.333;371.429;1.215.441;146.0;0.82769
05210;9,22E+28;0.90932;30.0;30.0;12.973;4.0;0.33333;3.583.333;380.952;9.185.278;506.0;0.67816
05205;9,22E+28;0.94622;28.0;28.0;12.355;1.0;0.33333;3.483.333;37.619;4.532.349;326.0;0.72222
05200;9,22E+28;0.93283;27.0;27.0;11.742;1.0;0.33333;3.433.333;37.381;3.931.269;294.0;0.7208
05161;9,22E+28;0.99182;27.0;27.0;11.798;1.0;0.5;34.5;37.619;397.053;324.0;0.76638
05100;45372.0;0.66175;11.0;11.0;6.782;1.0;0.33333;2.583.333;328.571;645.248;52.0;0.70909
04915;9,22E+28;0.92082;29.0;29.0;12.147;2.0;0.33333;3.533.333;378.571;8.444.561;546.0;0.69458
04910;9,22E+28;108.106;22.0;22.0;11.Mar;1.0;0.33333;3.183.333;361.905;703.633;76.0;0.8961
04810;3633842.0;0.76102;12.0;12.0;7.186;1.0;0.25;2.608.333;32.619;553.995;42.0;0.78788
04725;9,22E+28;0.92791;24.0;24.0;11.279;1.0;0.33333;3.283.333;366.667;564.099;364.0;0.74638
04722;9,22E+28;0.99475;28.0;28.0;12.Nis;1.0;0.33333;3.483.333;37.619;3.041.192;270.0;0.75926
04668;2,70E+24;0.89872;21.0;21.0;10.375;1.0;0.33333;3.116.667;357.143;1.701.382;156.0;0.75714
04550;9,22E+28;0.89305;22.0;22.0;10.505;1.0;0.33333;3.183.333;361.905;4.086.336;240.0;0.74026
04510;4,45E+25;101.742;21.0;21.0;10.654;1.0;0.33333;3.133.333;359.524;699.105;82.0;0.85714
04150;9,22E+28;102.175;23.0;23.0;10.974;1.0;0.33333;3.233.333;364.286;1.739.083;178.0;0.83399
04068;9,22E+28;0.96009;28.0;28.0;12.334;1.0;0.5;35.0;378.571;5.716.282;406.0;0.7328
04066;9,22E+28;108.107;24.0;24.0;11.333;1.0;0.33333;3.283.333;366.667;935.302;112.0;0.86957
04015;9,15E+22;105.628;20.0;20.0;10.662;1.0;0.33333;3.083.333;357.143;359.535;50.0;0.90526
04012;9,22E+28;10.545;27.0;27.0;Ara.13;1.0;0.33333;3.433.333;37.381;1.376.847;168.0;0.81481
04919;9,22E+28;0.98814;27.0;27.0;11.684;2.0;0.33333;3.433.333;37.381;8.766.597;422.0;0.76353
04070;722.0;0.5854;7.0;7.0;4.723;1.0;0.25;2.308.333;307.143;845.491;40.0;0.7619
00562;2.0;0.30779;2.0;2.0;1.824;1.0;0.25;1.941.667;278.571;0.0;0.0;1.0
